#{"t_start": 1771319763.528739, "env_id": "None"}
r,l,t
88.944741,100,1.5854
88.944741,100,1.721306
88.944741,100,1.854223
88.944741,100,1.99192
88.944741,100,2.126446
88.944741,100,2.259713
88.944741,100,2.393697
88.944741,100,2.527216
88.944741,100,2.661633
88.944741,100,2.796468
88.944741,100,2.935191
88.944741,100,3.06776
88.944741,100,3.199315
88.944741,100,3.33091
88.944741,100,3.463921
88.944741,100,3.599936
88.944741,100,3.735525
88.944741,100,3.868649
88.944741,100,4.000516
88.944741,100,4.133063
88.944741,100,5.155044
88.944741,100,5.316335
88.944741,100,5.455102
88.944741,100,5.588371
88.944741,100,5.72097
88.944741,100,5.855373
88.944741,100,5.98693
88.944741,100,6.11832
88.944741,100,6.250214
88.944741,100,6.382542
88.944741,100,6.515913
88.944741,100,6.647381
88.944741,100,6.778728
88.944741,100,6.910313
88.944741,100,7.040925
88.944741,100,7.171736
88.944741,100,7.308985
88.944741,100,7.461164
88.944741,100,7.594265
88.944741,100,7.728274
88.944741,100,8.698256
88.944741,100,8.858843
88.944741,100,8.99749
88.944741,100,9.131364
88.944741,100,9.265194
88.944741,100,9.397462
88.944741,100,9.53065
88.944741,100,9.664604
88.944741,100,9.797161
88.944741,100,9.929718
88.944741,100,10.719547
88.944741,100,10.859308
88.944741,100,10.99771
88.944741,100,11.130201
88.944741,100,11.261866
88.944741,100,11.398775
88.944741,100,11.533185
88.944741,100,11.667096
88.944741,100,11.80057
88.944741,100,11.933964
88.944741,100,12.067801
88.944741,100,13.040968
88.944741,100,13.192183
88.944741,100,13.32528
88.944741,100,13.458584
88.944741,100,13.59158
88.944741,100,13.725363
88.944741,100,13.856596
88.944741,100,13.988159
88.944741,100,14.119043
88.944741,100,14.249526
88.944741,100,14.380058
88.944741,100,14.512543
88.944741,100,14.644043
88.944741,100,14.776814
88.944741,100,14.90776
88.944741,100,15.039164
88.944741,100,15.172088
88.944741,100,15.331663
88.944741,100,15.464726
88.944741,100,15.610777
88.944741,100,16.617635
88.944741,100,16.772537
88.944741,100,16.912502
88.944741,100,17.046288
88.944741,100,17.180372
88.944741,100,17.314545
88.944741,100,17.447579
88.944741,100,17.580747
88.944741,100,17.713794
88.944741,100,17.848235
88.944741,100,17.981205
88.944741,100,18.114227
88.944741,100,18.245215
88.944741,100,18.375983
88.944741,100,18.506767
88.944741,100,18.637642
88.944741,100,18.773216
88.944741,100,18.904607
88.944741,100,19.035787
88.944741,100,19.778979
88.944741,100,19.913986
88.944741,100,20.935198
88.944741,100,21.077956
88.944741,100,21.21187
88.944741,100,21.345347
88.944741,100,21.478429
88.944741,100,21.610713
88.944741,100,21.743498
88.944741,100,21.878387
88.944741,100,22.011869
88.944741,100,22.152845
88.944741,100,22.288156
88.944741,100,22.419255
88.944741,100,22.55018
88.944741,100,22.681704
88.944741,100,22.813354
88.944741,100,22.965855
88.944741,100,23.097038
88.944741,100,23.229419
88.944741,100,23.360776
88.944741,100,23.49238
88.944741,100,24.498597
88.944741,100,24.650684
88.944741,100,24.791116
88.944741,100,24.92417
88.944741,100,25.056389
88.944741,100,25.189426
88.944741,100,25.321424
88.944741,100,25.454054
88.944741,100,25.586263
88.944741,100,25.718693
88.944741,100,25.859225
88.944741,100,26.003678
88.944741,100,26.136481
88.944741,100,26.268587
88.944741,100,26.401403
88.944741,100,26.536754
88.944741,100,26.668753
88.944741,100,26.800166
88.944741,100,26.931791
88.944741,100,27.063325
88.944741,100,27.194293
88.944741,100,28.21766
88.944741,100,28.369781
88.944741,100,28.505006
88.944741,100,28.638561
88.944741,100,28.772851
88.944741,100,28.907191
88.944741,100,29.041071
88.944741,100,29.788487
88.944741,100,29.935319
88.944741,100,30.085738
88.944741,100,30.226102
88.944741,100,30.367462
88.944741,100,30.512156
88.944741,100,30.652869
88.944741,100,30.787239
88.944741,100,30.919452
88.944741,100,31.070958
88.944741,100,31.218775
88.944741,100,31.351629
88.944741,100,31.483697
88.944741,100,32.456291
88.944741,100,32.613209
88.944741,100,32.753966
88.944741,100,32.886142
88.944741,100,33.019552
88.944741,100,33.151206
88.944741,100,33.282931
88.944741,100,33.413101
88.944741,100,33.545893
88.944741,100,33.678045
88.944741,100,33.809409
88.944741,100,33.940098
88.944741,100,34.072987
88.944741,100,34.204519
88.944741,100,34.33612
88.944741,100,34.46732
88.944741,100,34.605895
88.944741,100,34.740602
88.944741,100,34.875188
88.944741,100,35.009096
88.944741,100,35.143618
88.944741,100,36.149097
88.94288,100,36.301217
88.944741,100,36.435833
88.944741,100,36.570861
88.944741,100,36.706855
88.944741,100,36.840577
88.944741,100,36.974928
88.944741,100,37.108847
88.944741,100,37.242735
88.944741,100,37.376206
88.944741,100,37.508539
88.944741,100,37.641158
88.944741,100,37.774811
88.944741,100,37.908082
88.944741,100,38.040007
88.944741,100,38.173872
88.944741,100,38.939647
88.944741,100,39.074242
88.944741,100,39.208372
88.944741,100,39.34157
88.944741,100,40.358874
88.944741,100,40.508116
88.944741,100,40.644607
88.944741,100,40.777096
88.944741,100,40.908271
88.944741,100,41.039976
88.944741,100,41.172774
88.944741,100,41.319764
88.944741,100,41.455549
88.944741,100,41.58874
88.944741,100,41.722274
88.944741,100,41.855602
88.944741,100,41.989086
88.944741,100,42.121211
88.944741,100,42.25629
88.944741,100,42.392578
88.944741,100,42.527668
88.944741,100,42.660908
88.944741,100,42.793651
88.944741,100,42.92629
88.944741,100,43.059145
88.944741,100,44.092117
88.944741,100,44.23372
88.944741,100,44.367278
88.944741,100,44.501222
88.944741,100,44.632395
88.944741,100,44.764245
88.944741,100,44.897114
88.944741,100,45.029539
88.944741,100,45.160779
88.944741,100,45.314795
88.944741,100,45.449167
88.944741,100,45.583487
88.944741,100,45.716737
88.944741,100,45.850821
88.944741,100,45.984332
88.944741,100,46.119799
88.944741,100,46.252628
88.944741,100,46.392233
88.944741,100,46.534467
88.944741,100,46.666754
88.944741,100,47.676166
88.944741,100,47.827838
88.944741,100,47.96394
88.944741,100,48.095958
88.944741,100,48.22779
88.944741,100,48.971192
88.944741,100,49.10251
88.944741,100,49.233895
88.944741,100,49.365645
88.944741,100,49.496708
88.944741,100,49.627251
88.944741,100,49.757915
88.944741,100,49.891262
88.944741,100,50.023619
88.944741,100,50.15388
88.944741,100,50.285115
88.944741,100,50.41959
88.944741,100,50.552774
88.944741,100,50.686809
88.941141,100,50.820304
88.944741,100,50.953058
88.944741,100,51.966782
88.944741,100,52.107535
88.944741,100,52.240347
88.944741,100,52.375714
88.944741,100,52.506869
88.944741,100,52.638776
88.944741,100,52.770854
88.944741,100,52.902467
88.944741,100,53.034518
88.944741,100,53.165948
88.944741,100,53.297027
88.944741,100,53.440122
88.944741,100,53.577073
88.944741,100,53.708644
88.944741,100,53.841576
88.944741,100,53.977273
88.944741,100,54.109912
88.944741,100,54.2416
88.944741,100,54.375478
88.944741,100,54.508811
88.944741,100,55.499583
88.944741,100,55.656581
88.944741,100,55.790277
88.944741,100,55.923564
88.944741,100,56.055327
88.944741,100,56.187968
88.944741,100,56.320255
88.944741,100,56.45347
88.944741,100,56.588021
88.944741,100,56.730567
88.944741,100,56.867604
88.944741,100,57.000077
88.944741,100,57.131418
88.944741,100,57.265178
88.944741,100,58.035074
88.944741,100,58.169592
88.944741,100,58.304637
88.944741,100,58.440306
88.944741,100,58.575328
88.944741,100,58.710601
88.944741,100,58.846498
88.944741,100,59.909871
88.944741,100,60.075908
88.942148,100,60.219925
88.944741,100,60.36164
89.103027,100,60.508118
88.944741,100,60.647165
88.944741,100,60.780328
88.944741,100,60.912297
88.944741,100,61.045533
88.944741,100,61.178746
88.944741,100,61.312046
88.944741,100,61.444479
88.944741,100,61.578033
88.944741,100,61.710024
88.944741,100,61.857713
88.944741,100,61.997316
88.944741,100,62.128535
88.944741,100,62.259803
88.944741,100,62.39146
88.944741,100,62.524766
88.944741,100,63.529375
88.944741,100,63.681937
88.944741,100,63.818863
88.944741,100,63.953212
88.944281,100,64.087137
88.943612,100,64.221976
88.944741,100,64.355157
88.944741,100,64.489697
88.944741,100,64.624164
88.944741,100,64.759131
88.944006,100,64.893444
88.944741,100,65.027091
88.944741,100,65.158115
88.944741,100,65.28902
88.944741,100,65.422204
88.944741,100,65.57478
