#{"t_start": 1758870006.0661898, "env_id": "None"}
r,l,t
-876.368124,50,2.347315
-876.368124,50,2.422969
-876.368124,50,2.49724
-876.368124,50,2.57267
-876.368124,50,2.648798
-876.368124,50,2.721256
-876.368124,50,2.79532
-876.368124,50,2.870866
-876.368124,50,2.942048
-876.368124,50,3.016555
-876.368124,50,3.088739
-876.368124,50,3.163124
-876.368124,50,3.238667
-876.368124,50,3.331266
-876.368124,50,3.451479
-876.368124,50,3.544032
-876.368124,50,3.640232
-876.368124,50,3.771031
-876.368124,50,3.899752
-876.368124,50,4.007712
-876.368124,50,4.726224
-876.368124,50,4.812654
-876.368124,50,4.899114
-876.368124,50,4.980752
-876.368124,50,5.088743
-876.368124,50,5.16529
-876.368124,50,5.241448
-876.368124,50,5.317928
-876.368124,50,5.393945
-876.368124,50,5.474547
-876.368124,50,5.555455
-876.368124,50,5.649778
-876.368124,50,5.732258
-876.368124,50,5.818904
-876.368124,50,5.902733
-876.368124,50,6.000696
-876.368124,50,6.082362
-876.368124,50,6.170186
-876.368124,50,6.249137
-876.368124,50,6.356565
-876.368124,50,7.480535
-876.368124,50,7.565149
-876.368124,50,7.648166
-876.368124,50,7.725926
-876.368124,50,7.804113
-876.368124,50,7.878479
-876.368124,50,7.963535
-876.368124,50,8.059975
-876.368124,50,8.162489
-876.368124,50,8.23728
-876.368124,50,8.314625
-876.368124,50,8.391326
-876.368124,50,8.469383
-876.368124,50,8.545474
-876.368124,50,8.619918
-876.368124,50,8.699778
-876.368124,50,8.784732
-876.368124,50,8.873183
-876.368124,50,8.95777
-876.368124,50,9.045588
-876.368124,50,9.124685
-876.368124,50,9.728636
-876.368124,50,9.813855
-876.368124,50,9.893178
-876.368124,50,9.975286
-876.368124,50,10.058711
-876.368124,50,10.136271
-876.368124,50,10.211423
-876.368124,50,10.288838
-876.368124,50,10.361735
-876.368124,50,10.437996
-876.368124,50,10.513831
-876.368124,50,10.592614
-876.368124,50,10.670614
-876.368124,50,10.747317
-876.368124,50,10.826692
-876.368124,50,10.901239
-876.368124,50,10.976967
-876.368124,50,11.052069
-876.368124,50,11.128554
-876.368124,50,11.557016
-876.368124,50,12.152737
-876.368124,50,12.234617
-876.368124,50,12.321065
-876.368124,50,12.395635
-876.368124,50,12.466359
-876.368124,50,12.537339
-876.368124,50,12.607193
-876.368124,50,12.675568
-876.368124,50,12.743615
-876.368124,50,12.812948
-876.368124,50,12.885184
-876.368124,50,12.957358
-876.368124,50,13.028416
-876.368124,50,13.100589
-876.368124,50,13.170741
-876.368124,50,13.23898
