#{"t_start": 1774620365.5528686, "env_id": "None"}
r,l,t
1.685533,3,1.135939
0.148436,1,1.138849
-0.160638,2,1.144231
-3.296976,1,1.147141
14.210518,11,1.17907
-0.928393,1,1.181882
0.095271,4,1.190438
-2.120608,2,1.195202
0.790102,6,1.209423
6.892369,2,1.215
6.336964,4,1.223233
-7.046718,3,1.230147
4.52771,5,1.241615
-2.96658,1,1.244421
5.125113,5,1.255116
-2.136786,3,1.261393
6.3099,7,1.275906
16.464484,12,1.298661
1.283668,4,1.307792
-4.238368,1,1.311045
-2.492309,2,1.316821
0.384074,3,1.323469
-2.001322,1,1.326463
-0.605817,1,1.329258
-8.668994,6,1.341761
-8.335166,2,1.346449
-2.011551,2,1.351303
3.217297,5,1.361083
-17.661115,10,1.796824
-5.653481,7,1.869706
-2.253729,3,1.901974
-3.622711,5,1.956062
-5.307465,1,1.968128
0.368411,1,1.980255
-6.204373,1,1.992258
-3.096099,4,2.038555
-4.16254,1,2.050527
1.158001,1,2.06189
-5.430315,1,2.074106
2.253483,2,2.098172
-3.202459,1,2.111052
1.982866,1,2.123665
-0.619035,2,2.148183
-10.707412,4,2.190652
-0.560619,4,2.237364
-2.554201,1,2.249717
-1.139439,1,2.261152
-4.515445,2,2.283064
-4.406817,1,2.295296
-2.742621,1,2.30703
0.085356,6,2.373647
-3.17228,1,2.38502
-2.241038,2,2.407473
6.784057,3,2.442897
-5.932629,2,2.464016
2.41917,3,2.495519
12.463691,5,2.553862
-0.039196,6,2.624045
3.431015,4,2.666667
-4.231484,1,2.678443
3.064534,7,2.75659
24.272424,14,2.904548
12.856597,4,2.948417
0.050866,3,2.980643
-1.025902,8,3.071035
-3.032692,2,3.093489
7.226032,2,3.115689
2.638604,1,3.129571
-0.590943,1,3.142926
-10.158292,3,3.177768
-4.485957,1,3.190396
11.39196,11,3.303769
27.4798,23,3.547822
27.792601,20,3.768004
1.856387,6,3.832249
18.478322,12,3.957407
39.872376,49,4.482097
95.275892,45,4.960144
39.222178,21,5.190585
7.028487,8,5.276846
25.485026,15,5.46955
5.515775,3,5.503205
31.885161,13,5.652584
34.163093,28,5.957007
1.567263,3,5.99433
-8.742336,1,6.008749
54.152053,29,6.320164
43.457962,23,6.564576
-4.122669,6,6.633387
28.754357,13,6.775338
86.420376,37,7.167119
1.514131,5,7.220027
17.860558,6,7.289377
129.00465,50,7.810159
45.056296,20,8.019929
137.709865,47,8.507651
142.478754,50,9.050067
57.196215,23,9.297465
28.083655,11,9.412148
156.098793,50,9.948283
140.783522,50,10.491594
184.101456,50,11.018668
139.772219,44,11.48259
192.816484,50,12.009914
188.981418,50,12.538677
170.060321,50,13.060289
200.615639,50,13.576787
223.455972,50,14.112206
229.028444,50,14.643154
11.268534,3,14.675931
241.776401,50,15.191213
273.171552,50,15.767197
237.467723,50,16.309546
242.431645,50,16.831004
271.429194,50,17.355453
274.810552,50,17.875349
254.656346,50,18.416623
276.284055,50,18.940562
286.001888,50,19.478794
279.295598,50,20.009444
263.544269,50,20.627018
243.73534,50,21.176519
271.957883,50,21.73359
282.392296,50,22.73501
303.606367,50,23.357766
275.732339,50,23.899596
289.073693,50,24.436458
263.020442,50,24.972179
290.948121,50,25.559278
260.554166,50,26.115791
276.984183,50,26.673543
287.085782,50,27.210673
278.130047,50,27.752447
284.57216,50,28.292052
301.657009,50,28.844999
296.452169,50,29.407818
288.595249,50,29.980171
299.688166,50,30.505671
320.747702,50,31.038521
302.708613,50,31.556015
269.568633,50,32.091043
294.064668,50,32.628358
294.306803,50,33.223263
290.487394,50,33.751613
310.738309,50,34.296377
307.781103,50,34.833195
291.124573,50,35.355197
304.741194,50,35.886626
314.883593,50,36.416463
320.733884,50,36.940049
305.846287,50,37.4704
300.914512,50,37.990276
289.619639,50,38.549663
304.385109,50,39.136138
329.099611,50,39.708641
308.757017,50,40.294811
